user_state_id,user_state,attr_type_def_id
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
4072264431013821620,Removed,4072264431013821618
4072264431013821619,Valid,4072264431013821618
9132129851713924070,New,4072264431013821618
