account_num,customer_ref,account_payment_seq,history_date
2000164015,1000164093,1,2020-10-04-00-00-00
2000164015,1000164093,2,2020-10-04-00-00-00
2000164018,1000164092,1,2020-10-04-00-00-00
2000164088,1000164171,1,2020-10-04-00-00-00
2000163950,1000164018,1,2020-10-04-00-00-00
2000164019,1000164069,1,2020-10-04-00-00-00
2000163949,1000164012,1,2020-10-04-00-00-00
2000163931,1000163970,1,2020-10-04-00-00-00
2000163969,1000164028,2,2020-10-04-00-00-00
2000163969,1000164028,1,2020-10-04-00-00-00
2000163991,1000164051,1,2020-10-04-00-00-00
2000164014,1000164091,1,2020-10-04-00-00-00
