auto_payment_status_id,auto_payment_status_value,attr_type_def_id
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
9146592338913751297,6#9BBB59$On,9146592338913751296
9146592338913751298,6#BA4B34$Off,9146592338913751296
