incident_severity_id,incident_severity_value,attr_type_def_id
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
7091950761013643906,Normal,7091950761013643904
7091950761013643905,Low,7091950761013643904
7091950761013643907,High,7091950761013643904
