sim_physical_status_id,sim_physical_status_value,attr_type_def_id
9141616093313337422,Normal,9141616093313337421
9141616093313337423,Lost Internally,9141616093313337421
9141616093313337424,Damaged,9141616093313337421
9141616093313337426,Destroyed,9141616093313337421
9141616093313337427,Re-sorting,9141616093313337421
9141616093313337430,Returned to Vendor,9141616093313337421
9141616093313337422,Normal,9141616093313337421
9141616093313337423,Lost Internally,9141616093313337421
9141616093313337424,Damaged,9141616093313337421
9141616093313337426,Destroyed,9141616093313337421
9141616093313337427,Re-sorting,9141616093313337421
9141616093313337430,Returned to Vendor,9141616093313337421
9141616093313337422,Normal,9141616093313337421
9141616093313337423,Lost Internally,9141616093313337421
9141616093313337424,Damaged,9141616093313337421
9141616093313337426,Destroyed,9141616093313337421
9141616093313337427,Re-sorting,9141616093313337421
9141616093313337430,Returned to Vendor,9141616093313337421
9141616093313337422,Normal,9141616093313337421
9141616093313337423,Lost Internally,9141616093313337421
9141616093313337424,Damaged,9141616093313337421
9141616093313337426,Destroyed,9141616093313337421
9141616093313337427,Re-sorting,9141616093313337421
9141616093313337430,Returned to Vendor,9141616093313337421
9141616093313337422,Normal,9141616093313337421
9141616093313337423,Lost Internally,9141616093313337421
9141616093313337424,Damaged,9141616093313337421
9141616093313337426,Destroyed,9141616093313337421
9141616093313337427,Re-sorting,9141616093313337421
9141616093313337430,Returned to Vendor,9141616093313337421
9141616093313337422,Normal,9141616093313337421
9141616093313337423,Lost Internally,9141616093313337421
9141616093313337424,Damaged,9141616093313337421
9141616093313337426,Destroyed,9141616093313337421
9141616093313337427,Re-sorting,9141616093313337421
9141616093313337430,Returned to Vendor,9141616093313337421
